id,title,price,ownerid
2000,Charger,1000,108
2001,Iphone,300,101
2002,Bag,900,106
2003,Charger,300,105
2004,Iphone,800,103
2005,Charger,200,105
2006,Iphone,200,104
2007,Waterbottle,200,106
2008,Waterbottle,300,105
2009,Dell,600,109
2010,Headphone,300,107
2011,HP,600,107
2012,Oneplus,900,100
2013,HP,100,107
2014,Waterbottle,800,105
2015,Oneplus,200,105
2016,Waterbottle,800,100
2017,Charger,1000,107
2018,Waterbottle,400,105
2019,HP,700,105
2020,Nokia,400,106
2021,Iphone,1000,107
2022,Nokia,1000,105
2023,Oneplus,1000,102
2024,Headphone,700,109
2025,Iphone,300,109
2026,Waterbottle,200,104
2027,Charger,800,108
2028,HP,700,108
2029,Dell,600,103
2030,HP,1000,102
2031,Headphone,200,108
2032,Oneplus,100,108
2033,Oneplus,400,106
2034,Oneplus,800,107
2035,Headphone,600,100
2036,Dell,1000,108
2037,Nokia,700,107
2038,HP,300,100
2039,Iphone,500,104
2040,HP,1000,105
2041,HP,600,109
2042,Nokia,200,108
2043,Nokia,500,103
2044,Waterbottle,400,104
2045,Dell,300,109
2046,Oneplus,100,107
2047,Nokia,700,103
2048,Dell,400,104
2049,Iphone,400,103
2050,Headphone,700,109
2051,Iphone,900,100
2052,HP,600,105
2053,Iphone,1000,101
2054,Dell,500,100
2055,Dell,500,101
2056,Headphone,400,105
2057,Iphone,700,105
2058,Bag,200,102
2059,Iphone,600,102
2060,Charger,500,102
2061,Oneplus,700,105
2062,Oneplus,600,100
2063,Nokia,600,102
2064,Bag,1000,107
2065,HP,700,101
2066,Iphone,700,108
2067,Dell,400,106
2068,HP,1000,106
2069,Nokia,800,106
2070,Iphone,500,103
2071,HP,300,109
2072,Headphone,400,105
2073,Bag,600,106
2074,Headphone,300,109
2075,Bag,300,104
2076,HP,400,101
2077,Nokia,600,103
2078,Dell,100,109
2079,Oneplus,800,109
2080,Nokia,100,107
2081,Dell,700,108
2082,Bag,500,103
2083,Charger,400,104
2084,Oneplus,1000,109
2085,Charger,900,108
2086,Nokia,900,100
2087,Oneplus,700,104
2088,Bag,500,109
2089,Nokia,700,103
2090,Waterbottle,600,101
2091,HP,400,102
2092,Nokia,300,107
2093,HP,800,109
2094,Waterbottle,800,101
2095,Bag,800,101
2096,HP,800,100
2097,Waterbottle,1000,108
2098,Iphone,900,105
2099,Dell,600,109
2100,Oneplus,900,101
2101,Dell,500,101
2102,Oneplus,900,103
2103,Iphone,200,100
2104,Iphone,400,102
2105,Bag,300,109
2106,Waterbottle,400,100
2107,Headphone,600,104
2108,Nokia,400,102
2109,Dell,100,100
2110,Dell,300,101
2111,Charger,400,109
2112,Headphone,300,100
2113,Iphone,800,108
2114,Waterbottle,1000,100
2115,Iphone,900,107
2116,Waterbottle,400,109
2117,Oneplus,900,106
2118,Iphone,1000,103
2119,Bag,500,102
2120,Iphone,800,104
2121,Headphone,1000,108
2122,Headphone,100,103
2123,HP,1000,102
2124,Iphone,600,109
2125,Dell,700,108
2126,Nokia,400,104
2127,Oneplus,700,107
2128,Oneplus,900,109
2129,Waterbottle,600,108
2130,Bag,500,103
2131,Charger,100,100
2132,Waterbottle,900,106
2133,Waterbottle,300,107
2134,Nokia,600,107
2135,Headphone,400,107
2136,Iphone,400,109
2137,HP,300,108
2138,Bag,300,105
2139,Dell,400,109
2140,Iphone,800,101
2141,Waterbottle,700,107
2142,Bag,400,103
2143,HP,200,100
2144,Iphone,800,102
2145,Bag,600,109
2146,Nokia,900,101
2147,Headphone,700,109
2148,Bag,900,107
2149,Waterbottle,200,106
2150,Bag,800,103
2151,Dell,300,104
2152,Headphone,1000,108
2153,Oneplus,300,109
2154,Dell,200,106
2155,Oneplus,500,104
2156,Iphone,300,102
2157,Nokia,700,109
2158,Nokia,1000,107
2159,Headphone,700,102
2160,Nokia,1000,100
2161,Nokia,100,108
2162,Nokia,1000,101
2163,Iphone,500,107
2164,Oneplus,100,103
2165,Dell,400,107
2166,HP,200,109
2167,Waterbottle,700,109
2168,Bag,500,103
2169,Nokia,600,100
2170,HP,1000,100
2171,Iphone,1000,104
2172,Iphone,200,104
2173,Iphone,400,101
2174,Nokia,1000,106
2175,Bag,1000,104
2176,Charger,900,105
2177,Dell,700,106
2178,HP,900,103
2179,Headphone,400,100
2180,Oneplus,900,107
2181,Oneplus,600,100
2182,Bag,600,102
2183,Oneplus,500,102
2184,Headphone,100,102
2185,Waterbottle,800,109
2186,Headphone,400,100
2187,Headphone,500,107
2188,HP,1000,107
2189,Oneplus,900,101
2190,Charger,100,106
2191,Headphone,900,103
2192,HP,700,101
2193,Oneplus,600,106
2194,HP,200,104
2195,Dell,900,100
2196,HP,500,105
2197,HP,200,100
2198,Nokia,200,109
2199,Charger,500,105
2200,HP,800,104
2201,Headphone,800,100
2202,Oneplus,200,101
2203,Nokia,1000,109
2204,HP,300,105
2205,Nokia,600,102
2206,Charger,1000,105
2207,Dell,600,102
2208,Oneplus,1000,107
2209,Nokia,100,106
2210,Headphone,700,102
2211,Iphone,400,108
2212,Bag,900,106
2213,Oneplus,500,100
2214,Dell,200,100
2215,Oneplus,800,107
2216,Bag,600,102
2217,Bag,300,102
2218,Nokia,600,106
2219,Iphone,300,102
2220,Dell,300,101
2221,Oneplus,700,109
2222,Nokia,500,105
2223,Waterbottle,1000,108
2224,Oneplus,900,104
2225,HP,200,100
2226,Iphone,100,105
2227,Headphone,100,101
2228,Waterbottle,500,106
2229,Iphone,200,101
2230,HP,600,106
2231,HP,800,105
2232,Headphone,300,103
2233,Bag,300,106
2234,Charger,800,109
2235,Iphone,300,100
2236,Headphone,400,104
2237,Charger,300,103
2238,Waterbottle,700,104
2239,Oneplus,100,103
2240,Charger,400,103
2241,Waterbottle,100,101
2242,Waterbottle,700,102
2243,Waterbottle,400,103
2244,Bag,900,102
2245,HP,100,109
2246,Waterbottle,300,106
2247,Bag,900,100
2248,Headphone,1000,109
2249,Waterbottle,600,100
2250,Dell,400,104
2251,Oneplus,1000,104
2252,HP,900,100
2253,Nokia,100,104
2254,Headphone,200,104
2255,HP,800,103
2256,Dell,900,107
2257,Headphone,900,104
2258,Headphone,1000,105
2259,Iphone,700,109
2260,Oneplus,700,101
2261,Dell,100,101
2262,Waterbottle,500,101
2263,Iphone,800,101
2264,Charger,600,108
2265,Oneplus,300,109
2266,Waterbottle,300,102
2267,Headphone,400,103
2268,Waterbottle,400,106
2269,Oneplus,1000,105
2270,Oneplus,400,105
2271,Charger,500,108
2272,Waterbottle,600,106
2273,HP,900,100
2274,Charger,500,100
2275,Charger,700,101
2276,Charger,600,109
2277,Waterbottle,200,107
2278,Headphone,100,105
2279,Dell,900,104
2280,Iphone,700,103
2281,Charger,100,101
2282,Nokia,200,100
2283,Nokia,200,102
2284,Iphone,800,101
2285,Iphone,200,108
2286,Headphone,500,102
2287,Nokia,400,109
2288,Bag,500,100
2289,Waterbottle,700,105
2290,Dell,100,108
2291,Bag,600,100
2292,Nokia,800,102
2293,HP,900,105
2294,Iphone,100,107
2295,Iphone,900,103
2296,Iphone,700,103
2297,Charger,400,106
2298,Waterbottle,900,108
2299,Bag,800,109
2300,Waterbottle,400,104
2301,Bag,300,103
2302,Iphone,900,109
2303,Iphone,100,106
2304,Waterbottle,800,100
2305,Charger,100,101
2306,Iphone,400,100
2307,Dell,200,102
2308,Iphone,100,107
2309,Waterbottle,400,107
2310,Waterbottle,1000,105
2311,Waterbottle,100,109
2312,Waterbottle,900,104
2313,Nokia,200,100
2314,Dell,900,106
2315,Nokia,200,104
2316,Dell,800,102
2317,Iphone,900,107
2318,Charger,800,101
2319,Bag,400,108
2320,Waterbottle,800,104
2321,Oneplus,500,101
2322,Charger,300,102
2323,Iphone,500,106
2324,Charger,100,108
2325,Iphone,500,105
2326,Charger,800,106
2327,Oneplus,300,101
2328,Dell,800,105
2329,Charger,900,108
2330,Waterbottle,1000,101
2331,Oneplus,800,107
2332,Headphone,100,103
2333,Waterbottle,900,101
2334,Charger,100,103
2335,Bag,400,106
2336,Iphone,100,106
2337,Charger,300,107
2338,Iphone,700,109
2339,HP,300,102
2340,Waterbottle,800,108
2341,Waterbottle,600,109
2342,HP,600,107
2343,Dell,400,106
2344,Headphone,700,106
2345,Headphone,800,109
2346,Iphone,800,105
2347,Charger,100,104
2348,Charger,200,109
2349,Charger,1000,106
2350,HP,200,107
2351,Oneplus,700,108
2352,Headphone,800,109
2353,Bag,100,105
2354,Dell,600,104
2355,Oneplus,900,100
2356,HP,700,107
2357,Charger,700,105
2358,Dell,500,103
2359,HP,200,100
2360,Iphone,500,103
2361,Headphone,100,109
2362,Nokia,1000,108
2363,Headphone,500,103
2364,Bag,400,108
2365,Iphone,500,101
2366,HP,800,107
2367,Oneplus,200,101
2368,HP,300,104
2369,Oneplus,400,102
2370,Charger,700,101
2371,Charger,300,107
2372,HP,400,109
2373,Oneplus,700,107
2374,Headphone,700,109
2375,Dell,900,102
2376,Bag,300,108
2377,Dell,100,101
2378,Iphone,700,107
2379,Charger,800,106
2380,Headphone,1000,104
2381,HP,800,106
2382,Bag,300,100
2383,Headphone,800,108
2384,Headphone,300,100
2385,Oneplus,100,108
2386,Iphone,800,108
2387,Nokia,900,101
2388,HP,100,107
2389,Headphone,400,100
2390,Bag,400,100
2391,Bag,1000,102
2392,Waterbottle,700,108
2393,HP,200,105
2394,Nokia,800,103
2395,Charger,200,102
2396,Headphone,800,108
2397,HP,100,108
2398,Oneplus,800,103
2399,Bag,300,109
2400,Dell,200,100
2401,Charger,800,101
2402,Bag,900,103
2403,Dell,700,104
2404,Bag,600,105
2405,HP,900,102
2406,Oneplus,800,105
2407,Waterbottle,400,101
2408,Charger,300,104
2409,Charger,600,100
2410,Oneplus,200,101
2411,Iphone,1000,103
2412,Bag,600,109
2413,Iphone,200,104
2414,Iphone,200,108
2415,Iphone,700,105
2416,Dell,500,108
2417,Dell,300,101
2418,Oneplus,800,108
2419,Headphone,300,108
2420,Bag,300,106
2421,Iphone,100,106
2422,Headphone,700,109
2423,Bag,100,104
2424,HP,600,101
2425,Oneplus,500,107
2426,Bag,200,101
2427,Oneplus,100,109
2428,Dell,1000,107
2429,HP,800,105
2430,Dell,900,109
2431,Waterbottle,500,105
2432,Headphone,400,104
2433,Bag,700,107
2434,Waterbottle,600,104
2435,Nokia,100,109
2436,Dell,1000,108
2437,Headphone,500,101
2438,Iphone,1000,108
2439,Headphone,900,100
2440,Waterbottle,1000,102
2441,Dell,200,106
2442,Iphone,200,105
2443,Waterbottle,500,100
2444,Iphone,400,106
2445,Waterbottle,600,104
2446,Headphone,100,101
2447,HP,600,100
2448,HP,800,104
2449,Oneplus,1000,104
2450,Oneplus,400,100
2451,Headphone,700,107
2452,Dell,700,109
2453,Waterbottle,900,102
2454,Headphone,500,101
2455,Charger,900,103
2456,Oneplus,600,107
2457,Dell,800,107
2458,Dell,700,102
2459,Waterbottle,700,102
2460,Oneplus,100,105
2461,Bag,300,109
2462,Charger,900,105
2463,Oneplus,200,106
2464,Dell,700,109
2465,Iphone,1000,104
2466,Headphone,400,105
2467,HP,600,103
2468,Headphone,1000,100
2469,Oneplus,800,108
2470,Bag,500,104
2471,Nokia,500,107
2472,Nokia,300,108
2473,Iphone,800,104
2474,Charger,900,104
2475,Waterbottle,300,109
2476,Bag,400,105
2477,Oneplus,700,103
2478,Charger,900,105
2479,Dell,400,102
2480,Waterbottle,800,104
2481,Dell,200,103
2482,Nokia,800,104
2483,Nokia,600,105
2484,Dell,400,105
2485,HP,700,103
2486,Dell,400,101
2487,HP,1000,103
2488,Oneplus,900,103
